Demand 03/27/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,24304,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,22149,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160,21160,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20683,20915,20915,20915,20915,20915,20915,20915,20915,20915,20915,20915,20915,21824,21824,21824,21824,21824,21824,21824,21824,21824,21824,21824,21824,23428,23428,23428,23428,23428,23428,23428,23428,23428,23428,23428,23428,24467,24467,24467,24467,24467,24467,24467,24467,24467,24467,24467,24467,23939,23939,23939,23939,23939,23939,23939,23939,23939,23939,23939,23939,22274,22274,22274,22274,22274,22274,22274,22274,22274,22274,22274,22274,20651,20651,20651,20651,20651,20651,20651,20651,20651,20651,20651,20651,19684,19684,19684,19684,19684,19684,19684,19684,19684,19684,19684,19684,19354,19354,19354,19354,19354,19354,19354,19354,19354,19354,19354,19354,19979,19979,19979,19979,19979,19979,19979,19979,19979,19979,19979,19979,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,21099,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,24901,24901,24901,24901,24901,24901,24901,24901,24901,24901,24901,24901,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,27216,28667,28667,28667,28667,28667,28667,28667,28667,28667,28667,28667,28667,29073,29073,29073,29073,29073,29073,29073,29073,29073,29073,29073,29073,28429,28429,28429,28429,28429,28429,28429,28429,28429,28429,28429,28429,27502,27502,27502,27502,27502,27502,27502,27502,27502,27502,27502,27502,26052,26052,26052,26052,26052,26052,26052,26052,26052,26052,26052,26052,24245,24245,24245,24245,24245,24245,24245,24245,24245,24245,24245,24245
Hour-ahead forecast,23832,23832,23832,23832,23658,23658,23658,23413,23413,23413,23096,23096,23096,22774,22774,22774,22471,22471,22471,22213,22213,22213,21912,21912,21912,21685,21685,21685,21496,21496,21496,21267,21267,21267,21098,21098,21098,20967,20967,20967,20850,20850,20850,20808,20808,20808,20773,20773,20773,20877,20877,20877,20942,20942,20942,21016,21016,21016,21158,21158,21158,21543,21543,21543,21811,21811,21811,22086,22086,22086,22373,22373,22373,22940,22940,22940,23383,23383,23383,23762,23762,23762,24030,24030,24030,24353,24353,24353,24457,24457,24457,24357,24357,24357,24051,24051,24051,23761,23761,23761,23383,23383,23383,22967,22967,22967,22522,22522,22522,22160,22160,22160,21563,21563,21563,21190,21190,21190,20806,20806,20806,20433,20433,20433,20181,20181,20181,19697,19697,19697,19146,19146,19146,19045,19045,19045,19066,19066,19066,18919,18919,18919,18778,18778,18778,18816,18816,18816,18698,18698,18698,18646,18646,18646,18940,18940,18940,19256,19256,19256,19173,19173,19173,19593,19593,19593,19449,19449,19449,19831,19831,19831,20171,20171,20171,20573,20573,20573,20950,20950,20950,21446,21446,21446,21749,21749,21749,22280,22280,22280,23032,23032,23032,23324,23324,23324,23841,23841,23841,24690,24690,24690,25117,25117,25117,24881,24881,24881,25338,25338,25338,26001,26001,26001,26698,26698,26698,27074,27074,27074,27574,27574,27574,28018,28018,28018,28175,28175,28175,28198,28198,28198,28130,28130,28130,28068,28068,28068,27879,27879,27879,27779,27779,27779,27457,27457,27457,27132,27132,27132,26769,26769,26769,26757,26757,26757,26611,26611,26611,26281,26281,26281,26057,26057,26057,25679,25679,25679,25311,25311,25311,24859,24859,24859,24464,24464,24464,24052,24052,24052,23673,23673,23673,23289,23289,23289,22972,22972,22972
Demand,23685,23902,23989,23958,23801,23668,23519,23456,23359,23233,23115,22981,22880,22747,22682,22583,22477,22373,22295,22225,22145,22020,21930,21812,21755,21780,21643,21572,21494,21422,21358,21305,21221,21152,21181,21111,21038,21007,21050,21026,20993,20917,20915,20842,20831,20805,20770,20730,20699,20745,20909,20975,21006,21008,21050,21058,21085,21114,21116,21182,21237,21361,21488,21620,21657,21785,21845,21975,22036,22116,22194,22350,22485,22795,22785,23101,23240,23316,23449,23550,23697,23732,23829,23861,23900,24044,24193,24159,24134,24133,24135,23989,23941,23940,23746,23554,23499,23536,23676,23609,23406,23505,23302,23083,22784,22731,22651,22505,22363,22459,22344,22263,21820,21854,21780,21652,21463,21198,21035,20950,20794,20723,20538,20299,20147,19997,19992,19899,19814,19720,19600,19526,19425,19636,19504,19440,19229,19175,19231,19160,19117,19049,18964,18952,18990,19101,19073,19041,19026,18915,19069,18847,18858,18891,19190,19171,19186,18702,18992,18983,19198,19119,19490,19410,19433,19631,19663,19731,19804,19923,19919,20199,20374,20168,20503,20424,20553,20766,20789,20923,21166,21377,21581,21781,22059,22231,22204,22561,22647,22859,23116,23419,23485,23348,23177,23242,23112,23213,23352,23632,23778,23937,24174,24380,24655,24759,24852,25068,25281,25410,25647,26041,26207,26424,26691,26896,27033,27103,27046,27110,27251,27403,27486,27553,27622,27724,27806,27828,27891,27823,27872,27876,27936,27981,28006,27949,27847,27839,27830,27746,27670,27573,27470,27398,27340,27246,27188,27111,26996,26897,26800,26669,26577,26760,26819,26712,26596,26555,26467,26363,26203,26117,25989,25877,25726,25658,25591,25446,25289,25156,25079,24924,24783,24684,24524,24379,24187,24155,24027,23903,23754,23628,23484,23392,23208,23132,22940,22884,22729
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
