Net Demand 03/26/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23484,23484,23484,23484,23337,23337,23337,23068,23068,23068,22806,22806,22806,22562,22562,22562,22310,22310,22310,22120,22120,22120,21912,21912,21912,21707,21707,21707,21465,21465,21465,21254,21254,21254,21154,21154,21154,21084,21084,21084,20947,20947,20947,20888,20888,20888,20767,20767,20767,20909,20909,20909,20986,20986,20986,21082,21082,21082,21144,21144,21144,21578,21578,21578,21849,21849,21849,22144,22144,22144,22430,22430,22430,23031,23031,23031,23526,23526,23526,23998,23998,23998,24307,24307,24307,24719,24719,24719,24780,24780,24780,24631,24631,24631,24087,24087,24087,24052,24052,24052,23704,23704,23704,23395,23395,23395,22738,22738,22738,22403,22403,22403,22024,22024,22024,21487,21487,21487,20911,20911,20911,20372,20372,20372,19940,19940,19940,19350,19350,19350,18977,18977,18977,19015,19015,19015,18705,18705,18705,18709,18709,18709,18429,18429,18429,18427,18427,18427,18145,18145,18145,18316,18316,18316,18502,18502,18502,18614,18614,18614,18848,18848,18848,18993,18993,18993,19107,19107,19107,19450,19450,19450,19780,19780,19780,20119,20119,20119,20775,20775,20775,21300,21300,21300,21858,21858,21858,22334,22334,22334,22947,22947,22947,23334,23334,23334,23934,23934,23934,24793,24793,24793,25500,25500,25500,25973,25973,25973,26557,26557,26557,27412,27412,27412,28267,28267,28267,28602,28602,28602,29129,29129,29129,29454,29454,29454,29932,29932,29932,29939,29939,29939,29926,29926,29926,29876,29876,29876,29824,29824,29824,29170,29170,29170,28995,28995,28995,28556,28556,28556,28160,28160,28160,28151,28151,28151,27966,27966,27966,27780,27780,27780,27326,27326,27326,26917,26917,26917,26413,26413,26413,26040,26040,26040,25538,25538,25538,25136,25136,25136,24747,24747,24747,24328,24328,24328,23954,23954,23954
Demand,23460,23648,23766,23664,23640,23487,23436,23319,23174,23031,22920,22863,22834,22736,22718,22626,22547,22435,22309,22208,22152,22147,22000,21831,21701,21863,21661,21660,21619,21561,21406,21379,21339,21263,21209,21148,21103,21042,21000,20992,20962,20912,20863,20837,20867,20840,20800,20772,20699,20602,20958,20960,20995,20996,21029,21068,21056,21102,21177,21188,21247,21389,21551,21716,21726,21815,21888,21976,22123,22200,22291,22409,22570,22867,23100,23293,23462,23559,23707,23818,23920,24041,24097,24144,24205,24286,24430,24474,24548,24554,24463,24523,24467,24320,24220,24185,24124,23989,24133,23978,23928,23866,23723,23627,23327,23281,23193,22986,22791,22903,22514,22452,22223,21995,21995,21995,21995,21664,21126,20859,20651,20503,20420,20288,20179,20101,19863,19684,19656,19714,19615,19466,19401,19348,19376,19247,19208,19153,19016,18923,18780,18720,18644,18779,18685,18716,18550,18469,18497,18437,18447,18499,18488,18514,18500,18532,18475,18528,18670,18653,18634,18775,18827,19007,18952,19108,19277,19416,19458,19796,19740,19958,19990,20025,20332,20514,20578,20603,20846,20972,21185,21141,21365,21500,21676,21990,22261,22284,22571,22870,23015,23215,23650,23406,23573,23728,23940,24294,24621,24793,25001,25259,25659,25908,26271,26294,26332,26643,26952,27222,27511,27833,27943,28121,28375,28628,28836,28926,28996,29201,29332,29427,29609,29675,29559,29626,29670,29785,29873,29838,29803,29849,29413,29467,29563,29575,29542,29436,29323,29223,29188,29058,29028,28896,28800,28716,28671,28582,28518,28470,28446,28332,28176,28277,28309,28217,28084,27984,27906,27755,27592,27528,27451,27342,27183,27054,27028,26878,26696,26573,26447,26287,26093,25925,25792,25586,25432,25269,25147,24958,24801,24650,24506,24329,24169,24061,23947,23816,23686
Day-ahead net forecast,18843,17614,17614,17614,17614,17614,17614,17614,17614,17614,17614,17614,17614,16569,16569,16569,16569,16569,16569,16569,16569,16569,16569,16569,16569,15747,15747,15747,15747,15747,15747,15747,15747,15747,15747,15747,15747,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,16117,16117,16117,16117,16117,16117,16117,16117,16117,16117,16117,16117,17280,17280,17280,17280,17280,17280,17280,17280,17280,17280,17280,17280,19196,19196,19196,19196,19196,19196,19196,19196,19196,19196,19196,19196,16227,16227,16227,16227,16227,16227,16227,16227,16227,16227,16227,16227,6794,6794,6794,6794,6794,6794,6794,6794,6794,6794,6794,6794,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895,-672,-672,-672,-672,-672,-672,-672,-672,-672,-672,-672,-672,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2132,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-2558,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-1957,-774,-774,-774,-774,-774,-774,-774,-774,-774,-774,-774,-774,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546,5154,5154,5154,5154,5154,5154,5154,5154,5154,5154,5154,5154,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,23046,25906,25906,25906,25906,25906,25906,25906,25906,25906,25906,25906,25906,25557,25557,25557,25557,25557,25557,25557,25557,25557,25557,25557,25557,24877,24877,24877,24877,24877,24877,24877,24877,24877,24877,24877,24877,23592,23592,23592,23592,23592,23592,23592,23592,23592,23592,23592,23592,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991,21991
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,17016,16983,17207,17111,17118,16976,16900,16803,16723,16575,16457,16343,16373,16232,16199,16142,16059,15919,15824,15716,15637,15649,15608,15392,15325,15410,15287,15267,15213,15208,15078,15074,15116,15043,15074,15067,15102,15143,15152,15279,15315,15259,15249,15242,15359,15417,15448,15452,15543,15407,15853,15940,16047,16114,16164,16223,16259,16253,16299,16272,16288,16394,16495,16624,16667,16630,16712,16742,16928,17030,17116,17263,17414,17696,17994,18200,18360,18508,18689,18852,19035,19103,19103,19056,18888,18589,18303,17793,17351,16708,16035,15154,14644,14053,13482,12535,11891,10813,9689,8766,8091,7804,6982,6250,5840,5513,5243,4919,4396,3643,2918,2455,2152,1839,1839,1839,1839,1470,1035,746,449,76,-65,-437,-633,-540,-400,-408,-523,-770,-727,-761,-940,-1042,-1417,-1398,-1831,-1959,-2072,-2214,-2196,-2172,-2125,-2192,-2229,-2181,-2357,-2397,-2449,-2487,-2485,-2430,-2458,-2119,-2021,-1752,-1608,-1577,-1482,-1287,-1225,-863,-635,-494,-467,-101,-77,162,-146,172,323,202,243,696,1289,1216,1143,1576,1978,2083,2371,2734,2948,3142,3149,3355,3404,3297,3458,3320,3756,3918,4191,4627,4917,5322,5643,5853,5673,5693,5619,5923,6117,6326,6650,7317,7664,8248,9164,9665,10559,11492,12440,13383,14564,15983,17328,18444,19201,20125,21060,22146,23222,24027,24770,25215,25718,26091,26387,26563,26702,26772,27064,27027,27117,27234,27174,27029,26841,26704,26664,26529,26488,26389,26327,26339,26311,26305,26239,26206,26179,26092,25961,25948,26127,26036,25923,25825,25781,25681,25566,25475,25476,25337,25140,24947,24896,24802,24619,24519,24373,24246,24021,23842,23691,23512,23335,23197,23058,22858,22642,22476,22331,22142,22030,21875,21759,21595,21523
