Demand 03/24/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,24472,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,22741,21679,21679,21679,21679,21679,21679,21679,21679,21679,21679,21679,21679,20680,20680,20680,20680,20680,20680,20680,20680,20680,20680,20680,20680,20195,20195,20195,20195,20195,20195,20195,20195,20195,20195,20195,20195,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,23601,23601,23601,23601,23601,23601,23601,23601,23601,23601,23601,23601,24555,24555,24555,24555,24555,24555,24555,24555,24555,24555,24555,24555,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,23972,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,22068,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,20370,19751,19751,19751,19751,19751,19751,19751,19751,19751,19751,19751,19751,19636,19636,19636,19636,19636,19636,19636,19636,19636,19636,19636,19636,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,20418,21723,21723,21723,21723,21723,21723,21723,21723,21723,21723,21723,21723,23789,23789,23789,23789,23789,23789,23789,23789,23789,23789,23789,23789,25877,25877,25877,25877,25877,25877,25877,25877,25877,25877,25877,25877,28206,28206,28206,28206,28206,28206,28206,28206,28206,28206,28206,28206,29855,29855,29855,29855,29855,29855,29855,29855,29855,29855,29855,29855,30165,30165,30165,30165,30165,30165,30165,30165,30165,30165,30165,30165,29350,29350,29350,29350,29350,29350,29350,29350,29350,29350,29350,29350,28244,28244,28244,28244,28244,28244,28244,28244,28244,28244,28244,28244,26525,26525,26525,26525,26525,26525,26525,26525,26525,26525,26525,26525,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
Hour-ahead forecast,23612,23612,23612,23612,23415,23415,23415,23171,23171,23171,22798,22798,22798,22536,22536,22536,22306,22306,22306,22033,22033,22033,21848,21848,21848,21642,21642,21642,21443,21443,21443,21206,21206,21206,21085,21085,21085,20963,20963,20963,20891,20891,20891,20786,20786,20786,20714,20714,20714,20855,20855,20855,21017,21017,21017,21123,21123,21123,21262,21262,21262,21647,21647,21647,21938,21938,21938,22233,22233,22233,22524,22524,22524,23131,23131,23131,23519,23519,23519,23956,23956,23956,24330,24330,24330,24788,24788,24788,24987,24987,24987,24839,24839,24839,24423,24423,24423,24233,24233,24233,23950,23950,23950,23708,23708,23708,23408,23408,23408,23251,23251,23251,22760,22760,22760,22112,22112,22112,21250,21250,21250,21113,21113,21113,20677,20677,20677,20312,20312,20312,20088,20088,20088,19855,19855,19855,19638,19638,19638,19459,19459,19459,19240,19240,19240,19263,19263,19263,19056,19056,19056,19132,19132,19132,19204,19204,19204,19588,19588,19588,19792,19792,19792,20134,20134,20134,20445,20445,20445,20675,20675,20675,21069,21069,21069,21246,21246,21246,21639,21639,21639,21932,21932,21932,22511,22511,22511,23082,23082,23082,23828,23828,23828,24096,24096,24096,24766,24766,24766,25292,25292,25292,26000,26000,26000,26488,26488,26488,27289,27289,27289,28121,28121,28121,28844,28844,28844,29082,29082,29082,29527,29527,29527,30074,30074,30074,30286,30286,30286,30392,30392,30392,30267,30267,30267,30078,30078,30078,29848,29848,29848,29635,29635,29635,29433,29433,29433,29071,29071,29071,28641,28641,28641,28603,28603,28603,28307,28307,28307,27946,27946,27946,27521,27521,27521,27174,27174,27174,26667,26667,26667,26121,26121,26121,25623,25623,25623,25197,25197,25197,24785,24785,24785,24386,24386,24386,24054,24054,24054
Demand,23475,23616,23801,23667,23669,23574,23451,23346,23270,23140,23035,22921,22785,22796,22674,22584,22502,22410,22316,22229,22159,22070,21958,21839,21765,21736,21621,21595,21513,21477,21350,21359,21305,21171,21151,21086,21035,21008,20992,20939,20877,20881,20878,20922,20927,20835,20888,20813,20775,20778,21059,21060,21027,21057,21102,21110,21134,21173,21217,21230,21316,21463,21635,21694,21829,21893,21952,22024,22124,22192,22332,22417,22545,22972,23119,23297,23450,23627,23763,23918,24039,24151,24242,24277,24311,24549,24643,24620,24686,24710,24701,24567,24670,24653,24486,24456,24317,24556,24530,24543,24488,24410,24224,24149,23871,23764,23638,23574,23390,23680,23051,22823,22701,22547,22417,22172,22100,21835,21687,21531,21360,21676,21207,21108,20959,20855,20755,20586,20542,20521,20252,20194,20300,20218,19751,19800,19695,19800,19825,19461,19447,19446,19367,19411,19471,19421,19254,19320,19244,19325,19361,19302,19429,19602,19456,19520,19614,19787,19683,19841,19785,19948,20122,20059,20141,20328,20314,20471,20394,20592,20519,20545,20643,20645,20741,21099,21042,21221,21372,21551,21880,22067,22363,22346,22514,22735,23004,23302,23363,23425,23700,23734,24193,23861,24177,24402,24556,24842,25215,25450,25636,25858,26154,26455,26685,26691,26957,27200,27403,27625,27900,28155,28510,28683,28966,29136,29361,29309,29227,29472,29630,29777,29930,29937,29866,30032,30073,30059,30061,29907,29872,29938,30025,30025,30041,30056,30058,30029,29973,29933,29781,29675,29570,29513,29407,29297,29199,29055,28970,28867,28755,28648,28543,28654,28666,28603,28543,28385,28252,28140,27999,27792,27667,27515,27341,27180,27171,27026,26856,26747,26567,26400,26230,26060,25877,25723,25561,25396,25262,25129,24882,24759,24624,24432,24310,24150,24008,23881,23703
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
