Demand 03/28/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,24245,23369,23369,23369,23369,23369,23369,23369,23369,23369,23369,23369,23369,22224,22224,22224,22224,22224,22224,22224,22224,22224,22224,22224,22224,21075,21075,21075,21075,21075,21075,21075,21075,21075,21075,21075,21075,20428,20428,20428,20428,20428,20428,20428,20428,20428,20428,20428,20428,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20262,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,21112,21112,21112,21112,21112,21112,21112,21112,21112,21112,21112,21112,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,20263,20263,20263,20263,20263,20263,20263,20263,20263,20263,20263,20263,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,18676,17314,17314,17314,17314,17314,17314,17314,17314,17314,17314,17314,17314,16633,16633,16633,16633,16633,16633,16633,16633,16633,16633,16633,16633,16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,16554,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,18549,18549,18549,18549,18549,18549,18549,18549,18549,18549,18549,18549,20659,20659,20659,20659,20659,20659,20659,20659,20659,20659,20659,20659,22831,22831,22831,22831,22831,22831,22831,22831,22831,22831,22831,22831,25453,25453,25453,25453,25453,25453,25453,25453,25453,25453,25453,25453,27270,27270,27270,27270,27270,27270,27270,27270,27270,27270,27270,27270,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27779,27153,27153,27153,27153,27153,27153,27153,27153,27153,27153,27153,27153,26339,26339,26339,26339,26339,26339,26339,26339,26339,26339,26339,26339,25227,25227,25227,25227,25227,25227,25227,25227,25227,25227,25227,25227,23689,23689,23689,23689,23689,23689,23689,23689,23689,23689,23689,23689
Hour-ahead forecast,22871,22871,22871,22871,22742,22742,22742,22481,22481,22481,22145,22145,22145,21928,21928,21928,21574,21574,21574,21325,21325,21325,21028,21028,21028,20811,20811,20811,20563,20563,20563,20391,20391,20391,20272,20272,20272,20188,20188,20188,20078,20078,20078,19956,19956,19956,19822,19822,19822,19857,19857,19857,19858,19858,19858,19882,19882,19882,19923,19923,19923,20018,20018,20018,20149,20149,20149,20251,20251,20251,20342,20342,20342,20568,20568,20568,20713,20713,20713,20900,20900,20900,21019,21019,21019,21108,21108,21108,20960,20960,20960,20797,20797,20797,20568,20568,20568,20337,20337,20337,19996,19996,19996,19620,19620,19620,18923,18923,18923,19230,19230,19230,18847,18847,18847,18219,18219,18219,17823,17823,17823,17486,17486,17486,17053,17053,17053,16902,16902,16902,16668,16668,16668,16231,16231,16231,16030,16030,16030,15928,15928,15928,15693,15693,15693,15571,15571,15571,15326,15326,15326,15169,15169,15169,15254,15254,15254,15251,15251,15251,15455,15455,15455,15706,15706,15706,16254,16254,16254,16536,16536,16536,16915,16915,16915,17376,17376,17376,17807,17807,17807,18225,18225,18225,18725,18725,18725,19374,19374,19374,20104,20104,20104,20277,20277,20277,20766,20766,20766,21475,21475,21475,22617,22617,22617,23329,23329,23329,23427,23427,23427,24203,24203,24203,25121,25121,25121,25559,25559,25559,26186,26186,26186,26575,26575,26575,26855,26855,26855,27033,27033,27033,27166,27166,27166,27081,27081,27081,26871,26871,26871,26656,26656,26656,26458,26458,26458,26213,26213,26213,25865,25865,25865,25884,25884,25884,25709,25709,25709,25442,25442,25442,25046,25046,25046,24768,24768,24768,24389,24389,24389,23980,23980,23980,23638,23638,23638,23220,23220,23220,22820,22820,22820,22478,22478,22478,22123,22123,22123
Demand,22729,22905,23113,22930,22928,22794,22720,22525,22396,22280,22173,22095,22023,21888,21900,21772,21664,21555,21454,21359,21288,21176,21113,21033,20961,20977,20906,20826,20757,20690,20628,20573,20514,20473,20373,20330,20264,20205,20240,20175,20147,20113,20052,19993,20001,19943,19902,19921,19886,19970,19924,19945,19959,19954,19955,19959,19990,19965,19957,19963,19969,19941,20081,20162,20209,20187,20189,20201,20292,20316,20264,20387,20467,20573,20561,20687,20771,20835,20834,20924,20862,20846,20940,20863,20897,20992,21008,21145,20938,20899,20712,20798,20721,20567,20470,20543,20382,20059,20529,20245,20274,20630,20585,20384,19904,19694,19803,19596,19506,19560,19303,19240,18914,18904,18601,18586,18330,18350,18122,18081,17974,18101,17641,17722,17226,17302,17135,17099,17116,16762,16701,16562,16494,16520,16364,16307,16139,16087,16093,15998,15838,15644,15544,15513,15494,15427,15410,15198,15197,15218,15205,15234,15235,15267,15046,15450,15477,15616,15791,15807,15759,15826,16014,15957,16121,16129,16260,16289,16489,16375,16555,16730,16708,16803,17208,16967,17501,17621,17809,17780,18104,18211,18358,18594,18622,18768,19064,19155,19387,19875,20013,20404,20571,20451,20738,20957,21210,21101,21410,21194,21555,21892,21659,22293,22531,22814,22949,23076,23393,23749,23973,24291,24642,24840,25029,25207,25401,25561,25677,25831,25996,26161,26328,26426,26527,26585,26687,26738,26733,26671,26688,26766,26787,26818,26875,26861,26822,26809,26792,26776,26670,26587,26514,26457,26365,26295,26238,26166,26103,26033,25920,25829,25729,25766,25806,25713,25631,25523,25441,25287,25206,25088,24994,24862,24758,24715,24689,24560,24362,24276,24092,24013,23824,23739,23638,23464,23323,23180,23041,22991,22789,22720,22601,22431,22272,22184,22058,21894,21809
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
