Net Demand 03/29/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22083,22083,22083,22083,21933,21933,21933,21652,21652,21652,21281,21281,21281,20969,20969,20969,20699,20699,20699,20429,20429,20429,20145,20145,20145,19924,19924,19924,19678,19678,19678,19482,19482,19482,19284,19284,19284,19135,19135,19135,19032,19032,19032,18888,18888,18888,18728,18728,18728,18698,18698,18698,18656,18656,18656,18606,18606,18606,18596,18596,18596,18598,18598,18598,18655,18655,18655,18656,18656,18656,18720,18720,18720,18873,18873,18873,19002,19002,19002,19122,19122,19122,19248,19248,19248,19389,19389,19389,19357,19357,19357,19093,19093,19093,18748,18748,18748,18862,18862,18862,18499,18499,18499,17920,17920,17920,17586,17586,17586,17538,17538,17538,16859,16859,16859,16697,16697,16697,15781,15781,15781,15602,15602,15602,15223,15223,15223,14949,14949,14949,14819,14819,14819,14775,14775,14775,14517,14517,14517,14150,14150,14150,14139,14139,14139,14294,14294,14294,14243,14243,14243,14347,14347,14347,14566,14566,14566,14924,14924,14924,15190,15190,15190,15638,15638,15638,15956,15956,15956,16345,16345,16345,16769,16769,16769,17102,17102,17102,17679,17679,17679,17958,17958,17958,18389,18389,18389,19065,19065,19065,19767,19767,19767,20098,20098,20098,20950,20950,20950,22015,22015,22015,23190,23190,23190,23923,23923,23923,24791,24791,24791,25585,25585,25585,26734,26734,26734,27372,27372,27372,27732,27732,27732,28126,28126,28126,28373,28373,28373,28247,28247,28247,28316,28316,28316,28217,28217,28217,28036,28036,28036,27896,27896,27896,27806,27806,27806,27521,27521,27521,27277,27277,27277,27106,27106,27106,26806,26806,26806,26416,26416,26416,25957,25957,25957,25559,25559,25559,25125,25125,25125,24628,24628,24628,24096,24096,24096,23884,23884,23884,23711,23711,23711,23330,23330,23330,22446,22446,22446
Demand,21809,21924,22032,21912,21858,21738,21599,21533,21407,21295,21220,21116,21008,20930,20858,20783,20672,20582,20488,20384,20303,20221,20144,20031,19935,19869,19812,19725,19650,19579,19502,19502,19411,19358,19283,19194,19126,19101,19071,19030,18976,18945,18885,18865,18803,18791,18676,18646,18648,18695,18646,18637,18592,18614,18580,18560,18556,18540,18503,18482,18482,18521,18585,18624,18605,18644,18641,18664,18669,18680,18687,18694,18777,18909,19004,19061,19120,19176,19244,19265,19322,19324,19297,19224,19268,19230,19342,19310,19441,19212,19159,19200,19037,18945,18926,18849,18552,18576,18730,18755,18424,18560,18605,18023,17785,17898,17835,17726,17603,17316,17108,17091,16993,16758,16895,16564,16314,16246,16043,15778,15608,16152,15596,15594,15558,15483,15299,15199,15035,14992,14730,14707,14701,14987,14820,14688,14600,14517,14511,14606,14526,14504,14527,14462,14422,14554,14577,14533,14517,14586,14766,14758,14855,14789,14859,15049,15197,15199,15460,15386,15597,15495,15749,15791,15934,15838,16010,16068,16185,16425,16496,16604,16637,16637,16692,16689,16999,17117,17030,17438,17488,17884,17949,18068,18309,18559,18775,19071,19229,19598,19850,20165,20511,20684,20937,21194,21421,21728,22085,22598,22714,22996,23163,23602,23995,24111,24429,24857,25085,25384,25693,25874,26144,26412,26777,27013,27067,27235,27319,27428,27526,27651,27580,27770,27877,27956,28012,27990,27925,27925,27992,28039,28088,28231,28237,28304,28281,28281,28281,28171,28103,28078,27993,27954,27846,27773,27715,27556,27476,27329,27205,27118,26979,26946,27067,26928,26808,26708,26559,26451,26323,26165,25996,25925,25773,25663,25502,25342,25191,25310,25429,25246,25074,24884,24740,24606,24394,23870,23260,23075,22903,22793,22592,22517,22340,22169,22053,21927,
Day-ahead net forecast,20903,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,19397,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,18324,17304,17304,17304,17304,17304,17304,17304,17304,17304,17304,17304,17304,16772,16772,16772,16772,16772,16772,16772,16772,16772,16772,16772,16772,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16665,16950,16950,16950,16950,16950,16950,16950,16950,16950,16950,16950,16950,17423,17423,17423,17423,17423,17423,17423,17423,17423,17423,17423,17423,13912,13912,13912,13912,13912,13912,13912,13912,13912,13912,13912,13912,5358,5358,5358,5358,5358,5358,5358,5358,5358,5358,5358,5358,659,659,659,659,659,659,659,659,659,659,659,659,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-1934,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3353,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3744,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-3454,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-2520,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,-210,3218,3218,3218,3218,3218,3218,3218,3218,3218,3218,3218,3218,10097,10097,10097,10097,10097,10097,10097,10097,10097,10097,10097,10097,21613,21613,21613,21613,21613,21613,21613,21613,21613,21613,21613,21613,25194,25194,25194,25194,25194,25194,25194,25194,25194,25194,25194,25194,24415,24415,24415,24415,24415,24415,24415,24415,24415,24415,24415,24415,23363,23363,23363,23363,23363,23363,23363,23363,23363,23363,23363,23363,21770,21770,21770,21770,21770,21770,21770,21770,21770,21770,21770,21770,19929,19929,19929,19929,19929,19929,19929,19929,19929,19929,19929,19929
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net demand,17187,17119,17301,17236,17105,17028,16917,16832,16730,16617,16467,16358,16246,16121,16054,16032,15937,15835,15748,15710,15643,15617,15583,15530,15454,15430,15417,15402,15385,15363,15330,15369,15234,15178,15135,15039,14965,14916,14928,14884,14870,14883,14849,14852,14839,14854,14779,14755,14783,14898,14916,14935,14894,14900,14891,14882,14714,14753,14695,14680,14671,14745,14844,14895,14951,14975,14988,14986,14996,15038,15065,15128,15188,15334,15510,15632,15745,15818,15923,15985,16040,16046,15946,15760,15752,15503,15294,14974,14692,14099,13327,12430,11472,10691,10033,9244,8085,7208,6319,5891,5431,4638,3820,3411,2668,2655,2449,2199,1795,1305,1266,1059,935,604,332,188,-91,-335,-574,-628,-582,-1075,-2155,-2567,-2926,-3102,-3277,-3301,-3392,-3345,-3207,-3239,-3340,-3190,-3361,-3435,-3497,-3564,-3608,-3658,-3497,-3671,-3972,-3575,-3541,-3822,-4267,-4464,-4287,-4356,-4310,-4269,-4299,-4252,-4105,-3877,-3514,-3642,-3540,-3557,-3706,-3700,-3948,-3911,-3943,-3670,-3723,-3436,-3222,-2862,-3289,-3274,-3850,-3505,-3056,-2708,-2601,-2241,-2270,-1641,-2109,-1799,-1763,-1424,-886,-408,-75,208,457,927,1194,1385,1541,1534,1606,1809,2064,2716,3018,2619,2390,2569,3003,3622,4475,5563,6494,7334,8309,8841,9482,10421,11477,12809,13937,15054,16533,17655,18131,19127,20116,21183,21969,22720,23430,23925,24389,24817,25049,25181,25258,25466,25510,25621,25664,25742,25733,25685,25645,25533,25351,25283,25147,25052,24861,24715,24534,24271,24064,23904,23808,23688,23566,23339,23486,23353,23166,23044,22893,22718,22568,22432,22197,22159,22025,21915,21777,21574,21316,21158,21395,21196,21029,20807,20835,20691,20480,20054,19163,18813,18660,18527,18290,18398,18214,18093,18043,17879,
