Demand 03/30/2026 ,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,23324,22216,22216,22216,22216,22216,22216,22216,22216,22216,22216,22216,22216,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,21247,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,20356,19909,19909,19909,19909,19909,19909,19909,19909,19909,19909,19909,19909,20240,20240,20240,20240,20240,20240,20240,20240,20240,20240,20240,20240,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,21354,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,23122,24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,24200,23754,23754,23754,23754,23754,23754,23754,23754,23754,23754,23754,23754,22573,22573,22573,22573,22573,22573,22573,22573,22573,22573,22573,22573,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,21304,20550,20550,20550,20550,20550,20550,20550,20550,20550,20550,20550,20550,20244,20244,20244,20244,20244,20244,20244,20244,20244,20244,20244,20244,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,20634,21607,21607,21607,21607,21607,21607,21607,21607,21607,21607,21607,21607,23238,23238,23238,23238,23238,23238,23238,23238,23238,23238,23238,23238,24685,24685,24685,24685,24685,24685,24685,24685,24685,24685,24685,24685,26515,26515,26515,26515,26515,26515,26515,26515,26515,26515,26515,26515,27915,27915,27915,27915,27915,27915,27915,27915,27915,27915,27915,27915,28497,28497,28497,28497,28497,28497,28497,28497,28497,28497,28497,28497,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27892,27078,27078,27078,27078,27078,27078,27078,27078,27078,27078,27078,27078,25562,25562,25562,25562,25562,25562,25562,25562,25562,25562,25562,25562,23800,23800,23800,23800,23800,23800,23800,23800,23800,23800,23800,23800
Hour-ahead forecast,22056,22056,22056,22056,21910,21910,21910,21636,21636,21636,21261,21261,21261,21029,21029,21029,20764,20764,20764,20567,20567,20567,20402,20402,20402,20188,20188,20188,20046,20046,20046,19894,19894,19894,19888,19888,19888,19820,19820,19820,19732,19732,19732,19625,19625,19625,19533,19533,19533,19689,19689,19689,19869,19869,19869,19979,19979,19979,20062,20062,20062,20471,20471,20471,20772,20772,20772,21059,21059,21059,21384,21384,21384,21956,21956,21956,22420,22420,22420,22869,22869,22869,23238,23238,23238,23707,23707,23707,23831,23831,23831,23743,23743,23743,23454,23454,23454,23451,23451,23451,23181,23181,23181,22915,22915,22915,22626,22626,22626,22717,22717,22717,22591,22591,22591,22266,22266,22266,22092,22092,22092,21925,21925,21925,21550,21550,21550,21209,21209,21209,21117,21117,21117,20991,20991,20991,20574,20574,20574,20270,20270,20270,20086,20086,20086,20075,20075,20075,20311,20311,20311,20354,20354,20354,20657,20657,20657,21237,21237,21237,21569,21569,21569,21785,21785,21785,22400,22400,22400,22220,22220,22220,22490,22490,22490,23047,23047,23047,23666,23666,23666,24239,24239,24239,24106,24106,24106,24221,24221,24221,24630,24630,24630,24415,24415,24415,24646,24646,24646,25336,25336,25336,25831,25831,25831,25847,25847,25847,26093,26093,26093,26591,26591,26591,27122,27122,27122,27248,27248,27248,27490,27490,27490,27713,27713,27713,27980,27980,27980,28023,28023,28023,28157,28157,28157,28223,28223,28223,28158,28158,28158,28055,28055,28055,27871,27871,27871,27615,27615,27615,27344,27344,27344,27313,27313,27313,27074,27074,27074,26720,26720,26720,26318,26318,26318,25949,25949,25949,25556,25556,25556,25117,25117,25117,24631,24631,24631,24153,24153,24153,23739,23739,23739,23363,23363,23363,23085,23085,23085
Demand,21851,22003,22068,21990,21920,21830,21678,21555,21459,21381,21311,21203,21165,21259,21139,21027,20948,20833,20777,20712,20665,20594,20527,20467,20378,20411,20332,20316,20254,20210,20135,20058,20052,19934,19835,19800,19736,19727,19682,19656,19639,19647,19582,19644,19624,19619,19635,19577,19564,19466,19686,19802,19817,19853,19855,19896,19924,19963,20002,20030,20080,20199,20453,20578,20627,20751,20813,20915,21054,21101,21222,21305,21473,21759,22105,22235,22437,22612,22723,22827,22915,23002,23064,23111,23185,23315,23476,23534,23593,23642,23675,23597,23639,23596,23695,23499,23449,23531,23649,23751,23840,23669,23506,23626,23551,23549,23637,23391,23078,23149,23158,23060,22997,22864,22630,22585,22589,22339,22137,22224,22141,22229,22055,21986,21841,21763,21646,21540,21363,21268,20904,20938,20861,21016,20788,20659,20755,20703,20851,20823,20824,20776,20617,20653,20677,20878,20822,20791,20907,21087,21133,21107,21271,21354,21454,21357,21631,21841,22072,21904,21941,21657,21897,21937,22013,22006,22324,22363,22503,22598,22560,22817,22955,23037,23146,23119,22962,23092,23146,23328,23368,23453,23549,23481,23627,23588,23774,23820,23821,24107,24307,24228,24588,24376,24430,24597,24710,24807,25029,25116,25183,25449,25551,25669,25831,25939,26016,26058,26143,26276,26433,26549,26645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand response event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
